STATENAME	POP	SEASON
New Jersey	8711090	2008-09
New Mexico	2010662	2008-09
New York	19212436	2008-09
North Carolina	9309449	2008-09
North Dakota	657569	2008-09
Ohio	11515391	2008-09
Oklahoma	3668976	2008-09
Oregon	3768748	2008-09
Pennsylvania	12612285	2008-09
Rhode Island	1055003	2008-09
South Carolina	4528996	2008-09
South Dakota	799124	2008-09
Tennessee	6247411	2008-09
Texas	24309039	2008-09
Utah	2663029	2008-09
Vermont	624151	2008-09
Virginia	7833496	2008-09
Washington	6562231	2008-09
West Virginia	1840310	2008-09
Wisconsin	5640996	2008-09
Wyoming	546043	2008-09
Alabama	4757938	2009-10
Alaska	698895	2009-10
Arizona	6343154	2009-10
Arkansas	2896843	2009-10
California	36961229	2009-10
Colorado	4972195	2009-10
Connecticut	3561807	2009-10
Delaware	891730	2009-10
District of Columbia	592228	2009-10
Florida	18652644	2009-10
Georgia	9620846	2009-10
Hawaii	1346717	2009-10
Idaho	1554439	2009-10
Illinois	12796778	2009-10
Indiana	6459325	2009-10
Iowa	3032870	2009-10
Kansas	2832704	2009-10
Kentucky	4317074	2009-10
Louisiana	4491648	2009-10
Maine	1329590	2009-10
Maryland	5730388	2009-10
Massachusetts	6517613	2009-10
Michigan	9901591	2009-10
Minnesota	5281203	2009-10
Mississippi	2958774	2009-10
Missouri	5961088	2009-10
Montana	983982	2009-10
Nebraska	1812683	2009-10
Nevada	2684665	2009-10
New Hampshire	1316102	2009-10
New Jersey	8755602	2009-10
New Mexico	2036802	2009-10
New York	19307066	2009-10
North Carolina	9449566	2009-10
North Dakota	664968	2009-10
Ohio	11528896	2009-10
Oklahoma	3717572	2009-10
Oregon	3808600	2009-10
Pennsylvania	12666858	2009-10
Rhode Island	1053646	2009-10
South Carolina	4589872	2009-10
South Dakota	807067	2009-10
Tennessee	6306019	2009-10
Texas	24801761	2009-10
Utah	2723421	2009-10
Vermont	624817	2009-10
Virginia	7925937	2009-10
Washington	6667426	2009-10
West Virginia	1847775	2009-10
Wisconsin	5669264	2009-10
Wyoming	559851	2009-10
Alabama	4785448	2010-11
Alaska	713906	2010-11
Arizona	6407774	2010-11
Arkansas	2921978	2010-11
California	37320903	2010-11
Colorado	5048281	2010-11
Connecticut	3579125	2010-11
Delaware	899595	2010-11
District of Columbia	605085	2010-11
Florida	18845785	2010-11
Georgia	9711810	2010-11
Hawaii	1363963	2010-11
Idaho	1570773	2010-11
Illinois	12840762	2010-11
Indiana	6490436	2010-11
Iowa	3050767	2010-11
Kansas	2858213	2010-11
Kentucky	4348200	2010-11
Louisiana	4544532	2010-11
Maine	1327632	2010-11
Maryland	5788642	2010-11
Massachusetts	6566431	2010-11
Michigan	9877535	2010-11
Minnesota	5310843	2010-11
Mississippi	2970536	2010-11
Missouri	5995976	2010-11
Montana	990722	2010-11
Nebraska	1829536	2010-11
Nevada	2702464	2010-11
New Hampshire	1316777	2010-11
New Jersey	8799624	2010-11
New Mexico	2064588	2010-11
New York	19400080	2010-11
North Carolina	9574293	2010-11
North Dakota	674710	2010-11
Ohio	11539327	2010-11
Oklahoma	3759632	2010-11
Oregon	3837532	2010-11
Pennsylvania	12711158	2010-11
Rhode Island	1053938	2010-11
South Carolina	4635656	2010-11
South Dakota	816165	2010-11
Tennessee	6355301	2010-11
Texas	25242679	2010-11
Utah	2775334	2010-11
Vermont	625880	2010-11
Virginia	8023680	2010-11
Washington	6742902	2010-11
West Virginia	1854214	2010-11
Wisconsin	5690479	2010-11
Wyoming	564483	2010-11
Alabama	4798834	2011-12
Alaska	722038	2011-12
Arizona	6473497	2011-12
Arkansas	2940407	2011-12
California	37641823	2011-12
Colorado	5121771	2011-12
Connecticut	3588023	2011-12
Delaware	907316	2011-12
District of Columbia	619602	2011-12
Florida	19093352	2011-12
Georgia	9801578	2011-12
Hawaii	1379252	2011-12
Idaho	1583828	2011-12
Illinois	12867291	2011-12
Indiana	6516045	2011-12
Iowa	3066054	2011-12
Kansas	2869035	2011-12
Kentucky	4369488	2011-12
